@relation is
@attribute h0 numeric
@attribute h1 numeric
@attribute h2 numeric
@attribute h3 numeric
@attribute h4 numeric
@attribute h5 numeric
@attribute h6 numeric
@attribute h7 numeric
@attribute h8 numeric
@attribute h9 numeric
@attribute digit {0,1,2,3,4,5,6,7,8,9}
@data
40,16,18,15,39,17,17,15,0,0,8
59,25,40,9,61,25,38,11,0,0,7
42,15,41,23,31,22,38,19,0,0,9
27,4,39,10,17,16,25,12,0,0,0
43,19,20,6,48,13,27,5,0,0,1
62,5,25,8,59,5,28,5,0,0,4
39,29,29,16,48,25,28,21,0,0,2
37,20,22,29,38,14,33,24,0,0,3
42,13,62,14,37,16,61,12,0,0,5
58,46,96,17,54,51,90,18,0,0,2
37,44,81,13,50,42,72,24,0,0,2
35,90,131,32,41,88,129,36,0,0,2
44,76,101,34,52,74,97,40,0,0,2
35,38,74,18,54,36,59,35,0,0,2
58,53,71,29,54,57,67,29,0,0,2
33,17,25,23,30,15,32,18,0,0,0
30,26,38,16,32,15,58,7,0,0,0
101,41,18,28,87,33,48,6,0,0,0
86,35,31,10,99,24,40,12,0,0,0
76,38,42,4,72,43,36,5,0,0,0
60,18,42,13,62,29,18,26,0,0,0
103,22,34,14,88,37,19,14,0,0,0
64,19,6,27,75,5,23,24,0,0,0
64,23,43,20,79,32,10,44,0,0,0
63,21,8,11,53,22,16,2,0,0,0
63,39,19,8,61,37,25,4,0,0,0
51,15,13,20,38,19,18,11,0,0,0
41,14,17,13,44,11,20,13,0,0,0
79,11,22,30,33,32,26,5,0,0,0
42,17,13,14,29,19,22,3,0,0,0
32,19,14,15,37,10,27,11,0,0,0
41,12,23,15,43,6,33,11,0,0,0
49,16,18,18,43,14,28,10,0,0,0
39,22,12,19,27,20,28,5,0,0,0
29,33,19,13,39,22,31,12,0,0,0
27,7,15,5,25,8,15,4,0,0,0
18,13,19,9,24,6,27,8,0,0,0
22,3,20,8,21,4,19,8,0,0,0
29,8,12,8,26,8,15,5,0,0,0
11,15,12,8,18,5,25,5,0,0,0
25,10,26,12,29,6,30,12,0,0,0
18,8,19,8,16,8,21,6,0,0,0
27,8,11,9,22,8,16,4,0,0,0
24,15,11,7,20,15,15,3,0,0,0
16,19,10,5,22,12,18,4,0,0,0
48,14,45,5,33,34,20,10,0,0,0
64,18,23,13,49,28,18,8,0,0,0
48,6,5,2,48,6,5,2,0,0,1
75,22,40,9,84,13,49,9,0,0,1
84,16,43,14,94,5,55,13,0,0,1
68,11,7,23,75,5,12,24,0,0,1
78,12,6,19,82,7,12,18,0,0,1
83,26,55,5,93,16,65,5,0,0,1
55,13,48,5,69,5,50,11,0,0,1
72,28,30,9,81,17,43,7,0,0,1
57,30,8,27,65,23,14,28,0,0,1
52,45,23,2,61,39,26,5,0,0,1
33,10,7,6,40,4,12,7,0,0,1
34,14,12,3,41,9,15,5,0,0,1
20,10,17,4,21,10,16,5,0,0,1
26,13,19,4,30,11,19,6,0,0,1
38,8,10,15,40,6,12,15,0,0,1
28,7,7,6,34,2,11,7,0,0,1
22,10,11,7,28,6,13,9,0,0,1
28,25,15,3,36,19,19,5,0,0,1
93,21,6,66,81,24,12,57,0,0,1
80,24,14,52,80,21,20,49,0,0,1
105,24,64,6,112,16,73,5,0,0,1
95,21,79,34,91,18,89,27,0,0,1
122,28,48,29,115,26,59,20,0,0,1
101,29,40,31,104,21,53,26,0,0,1
120,47,84,26,119,40,99,18,0,0,1
113,30,63,10,117,22,75,6,0,0,1
92,37,47,11,94,32,55,8,0,0,1
84,29,79,15,88,21,91,11,0,0,1
71,29,59,9,81,18,71,8,0,0,1
69,48,81,15,73,40,93,11,0,0,1
81,51,64,23,80,46,75,17,0,0,1
61,27,12,2,72,19,17,5,0,0,1
61,2,6,17,61,2,6,17,0,0,1
40,21,6,2,40,21,6,2,0,0,1
76,2,6,14,76,2,6,14,0,0,1
81,20,7,2,82,19,8,2,0,0,1
88,2,6,13,88,2,6,13,0,0,1
54,18,48,11,66,5,62,10,0,0,1
46,11,63,20,54,2,73,19,0,0,1
94,49,49,5,107,36,62,5,0,0,1
35,25,99,22,40,24,96,26,0,0,2
20,20,65,33,20,23,59,36,0,0,2
22,18,71,23,28,19,63,30,0,0,2
38,23,114,28,41,22,113,30,0,0,2
52,10,85,18,49,8,92,13,0,0,2
50,20,46,21,54,14,54,19,0,0,2
64,24,62,30,67,14,79,23,0,0,2
48,53,233,28,49,51,236,27,0,0,2
63,50,92,25,61,50,94,23,0,0,2
48,66,111,26,50,64,113,26,0,0,2
72,65,123,30,74,62,127,29,0,0,2
84,74,115,24,88,67,125,21,0,0,2
43,51,131,42,41,52,131,41,0,0,2
42,36,85,35,42,37,83,36,0,0,2
61,37,91,13,66,32,96,13,0,0,2
26,51,144,44,21,44,163,32,0,0,2
52,45,123,14,56,40,129,13,0,0,2
37,58,131,35,40,62,120,42,0,0,2
25,29,104,31,29,31,96,37,0,0,2
15,39,133,38,24,36,130,44,0,0,2
31,39,117,27,36,40,110,33,0,0,2
34,32,83,43,33,34,80,44,0,0,2
28,42,149,37,39,39,144,45,0,0,2
102,52,119,22,105,48,124,21,0,0,2
39,41,158,37,42,44,149,43,0,0,2
28,38,123,26,37,40,110,37,0,0,2
53,27,150,34,54,25,153,33,0,0,2
43,45,104,23,44,41,111,20,0,0,2
77,27,116,30,83,26,112,35,0,0,2
59,41,87,22,73,19,117,14,0,0,2
78,27,92,16,78,26,94,15,0,0,2
31,30,88,30,32,32,83,33,0,0,2
20,13,77,10,31,13,66,21,0,0,2
14,11,27,11,22,6,29,14,0,0,2
12,22,14,9,18,15,22,8,0,0,2
25,13,35,11,27,14,31,14,0,0,2
13,18,52,10,24,13,51,16,0,0,2
22,21,49,15,31,19,44,22,0,0,2
28,25,74,10,38,17,80,12,0,0,2
27,12,33,14,34,8,34,17,0,0,2
19,14,60,17,24,9,65,17,0,0,2
12,16,60,8,24,14,52,18,0,0,2
20,18,65,14,25,12,72,13,0,0,2
18,25,42,13,26,19,46,15,0,0,2
19,14,74,15,22,14,71,18,0,0,2
19,40,105,22,29,33,109,25,0,0,2
31,24,101,13,36,17,110,11,0,0,2
34,27,35,14,40,24,35,17,0,0,2
35,48,62,12,40,44,65,13,0,0,2
22,20,52,14,26,21,46,19,0,0,2
44,18,70,22,47,21,61,28,0,0,2
50,35,51,25,54,29,59,23,0,0,2
31,29,94,12,38,30,85,20,0,0,2
53,27,94,19,49,29,94,17,0,0,2
32,30,93,11,38,25,97,12,0,0,2
27,69,53,10,33,62,61,9,0,0,2
39,43,105,14,34,42,112,8,0,0,2
